id,condition,time,Delta,Theta,Alpha,Beta,Gamma,Sum
27,easy,202,96915.0,50541.0,22306.0,22547.0,5118.0,37
27,easy,203,264245.0,112692.0,56555.0,9346.0,4962.0,37
27,easy,204,732478.0,167477.0,63725.0,18357.0,10758.0,37
27,easy,205,105532.0,57067.0,36511.0,15002.0,8108.0,37
27,easy,206,139634.0,39520.0,21320.0,14513.0,7987.0,37
27,easy,207,241190.0,210033.0,36610.0,15541.0,6213.0,37
27,easy,208,49994.0,37598.0,21673.0,24074.0,7267.0,37
27,easy,209,319021.0,6525.0,6544.0,8775.0,832.0,37
27,easy,210,1618032.0,116032.0,62033.0,10925.0,9235.0,37
27,easy,211,28226.0,12841.0,27781.0,18789.0,4539.0,37
27,easy,212,1460951.0,194389.0,77853.0,55095.0,13631.0,37
27,easy,213,186994.0,70697.0,27187.0,18865.0,6173.0,37
27,easy,214,541776.0,90636.0,65490.0,18473.0,4368.0,37
27,easy,215,1730191.0,296309.0,70727.0,21424.0,10333.0,37
27,easy,216,47444.0,58425.0,51018.0,28863.0,5956.0,37
27,easy,217,24042.0,49837.0,18649.0,13007.0,4816.0,37
27,easy,218,207896.0,54872.0,52868.0,30324.0,7156.0,37
27,easy,219,1586908.0,365496.0,58880.0,17524.0,5243.0,37
27,easy,220,305182.0,18438.0,73683.0,22549.0,9324.0,37
27,easy,221,162132.0,18506.0,14365.0,9026.0,4591.0,37
27,easy,222,4479.0,39499.0,24269.0,23318.0,11922.0,37
27,easy,223,50110.0,23586.0,44997.0,15676.0,13317.0,37
27,easy,224,218116.0,61092.0,19901.0,5134.0,1316.0,37
27,easy,225,62989.0,177851.0,18906.0,10266.0,5369.0,37
27,easy,226,28998.0,31581.0,8092.0,4779.0,2161.0,37
27,easy,227,485304.0,37925.0,47706.0,29988.0,7768.0,37
27,easy,228,44980.0,107135.0,14449.0,15487.0,6465.0,37
27,easy,229,422685.0,107426.0,16617.0,22641.0,7451.0,37
27,easy,230,135486.0,7205.0,25757.0,12256.0,4368.0,37
27,easy,231,111399.0,53074.0,47595.0,9886.0,2207.0,37
27,easy,232,49060.0,100864.0,35017.0,9089.0,5025.0,37
27,easy,233,45265.0,4892.0,1830.0,1465.0,471.0,37
27,easy,234,51009.0,33309.0,50758.0,8424.0,3524.0,37
27,easy,235,439558.0,53582.0,28302.0,14848.0,3276.0,37
27,easy,236,111306.0,79645.0,10324.0,4758.0,1443.0,37
27,easy,237,1139456.0,173577.0,30597.0,9898.0,6352.0,37
27,easy,238,178341.0,25829.0,8085.0,6094.0,906.0,37
27,easy,239,1287408.0,230520.0,52114.0,55944.0,26947.0,37
27,easy,240,956921.0,142078.0,13261.0,17101.0,7722.0,37
27,flow,1,656211.0,219341.0,162601.0,56318.0,13114.0,39
27,flow,2,671442.0,104030.0,23949.0,12934.0,5297.0,39
27,flow,3,838539.0,133087.0,48065.0,29747.0,24502.0,39
27,flow,4,44245.0,39029.0,52869.0,26507.0,20283.0,39
27,flow,5,145546.0,48188.0,37176.0,22362.0,3538.0,39
27,flow,6,835847.0,40028.0,34299.0,11005.0,6229.0,39
27,flow,7,70906.0,38761.0,1844.0,3672.0,5248.0,39
27,flow,8,22103.0,59117.0,53232.0,11148.0,4190.0,39
27,flow,9,65043.0,28727.0,12572.0,4545.0,3461.0,39
27,flow,10,872800.0,124712.0,25175.0,15800.0,9535.0,39
27,flow,11,276787.0,19184.0,1399.0,2241.0,1678.0,39
27,flow,12,7941.0,4476.0,18561.0,11023.0,6132.0,39
27,flow,13,3835.0,10703.0,10448.0,9104.0,2090.0,39
27,flow,14,5019.0,18116.0,11217.0,4171.0,6106.0,39
27,flow,15,36275.0,16447.0,7864.0,6778.0,2930.0,39
27,flow,16,685499.0,101120.0,31483.0,10916.0,8477.0,39
27,flow,17,19037.0,17053.0,10397.0,20919.0,7694.0,39
27,flow,18,256010.0,184349.0,28966.0,10870.0,6982.0,39
27,flow,19,16580.0,2916.0,24780.0,8784.0,8430.0,39
27,flow,20,64279.0,13969.0,9376.0,4061.0,5217.0,39
27,flow,21,88030.0,72682.0,56613.0,4736.0,5978.0,39
27,flow,22,34764.0,14036.0,5717.0,6513.0,2121.0,39
27,flow,23,4012.0,6361.0,17668.0,9338.0,7316.0,39
27,flow,24,529365.0,37609.0,14484.0,10708.0,4378.0,39
27,flow,25,106428.0,54956.0,31336.0,14696.0,4638.0,39
27,flow,26,21231.0,23862.0,7659.0,16331.0,4303.0,39
27,flow,27,7134.0,11438.0,7720.0,14764.0,6721.0,39
27,flow,28,66176.0,36037.0,41997.0,12948.0,5488.0,39
27,flow,29,63202.0,29269.0,17094.0,18159.0,5520.0,39
27,flow,30,80409.0,58750.0,59355.0,23560.0,5133.0,39
27,flow,31,76989.0,28320.0,37117.0,16548.0,3922.0,39
27,flow,32,24687.0,19226.0,7377.0,14820.0,4774.0,39
