,id,condition,Delta,Theta,Alpha,Beta,Gamma,Sum,segment,start,end
146,21,mindfulness,352653.1666666666,53526.36666666667,14171.866666666669,5654.0,2217.366666666667,31.0,1.0,1.0,30.0
147,22,art,-177606.53333333333,6835.0999999999985,1551.6000000000022,11554.166666666664,12134.399999999998,37.0,1.0,1.0,30.0
148,22,easy,222180.96666666673,119572.83333333331,46479.36666666667,47042.33333333333,37082.600000000006,41.0,1.0,1.0,30.0
149,22,flow,-203106.8,3779.69999999999,-6046.0,550.6666666666642,4306.633333333335,40.0,1.0,1.0,30.0
150,22,free_recall,-76940.83333333331,28822.833333333336,5658.833333333332,5038.299999999999,6329.466666666667,28.0,1.0,1.0,30.0
151,22,hard,-218654.86666666664,-17452.13333333334,-12787.199999999997,6661.0999999999985,8113.366666666667,39.0,1.0,1.0,30.0
153,22,mindfulness,61686.40000000002,81360.20000000001,9524.866666666665,13330.066666666662,9176.433333333334,41.0,1.0,1.0,30.0
154,23,art,433176.3999999998,103028.96666666667,17984.433333333334,8499.133333333346,9697.5,40.0,1.0,1.0,30.0
155,23,easy,45658.69999999995,185320.2333333333,80440.79999999999,4829.53333333334,47305.066666666666,36.0,1.0,1.0,30.0
156,23,flow,126466.16666666663,180203.2333333333,58594.066666666666,-5300.533333333326,37258.13333333334,34.0,1.0,1.0,30.0
157,23,free_recall,-14705.333333333372,-28412.76666666665,-4446.633333333339,-20463.29999999999,-2345.366666666665,30.0,1.0,1.0,30.0
158,23,hard,123820.40000000002,187420.30000000002,67045.9,705.566666666673,53941.8,22.0,1.0,1.0,30.0
160,23,mindfulness,358635.8666666666,95135.86666666667,6358.866666666669,7716.066666666673,4398.733333333334,35.0,1.0,1.0,30.0
161,24,art,76580.53333333333,-26899.13333333334,-11792.133333333335,1376.6666666666679,6656.1,36.0,1.0,1.0,30.0
162,24,easy,514307.79999999993,144342.66666666663,22523.13333333333,12177.899999999998,20913.26666666667,33.0,1.0,1.0,30.0
163,24,flow,55417.26666666666,13683.166666666672,9041.666666666664,4915.133333333335,5149.433333333334,31.0,1.0,1.0,30.0
164,24,free_recall,113534.43333333332,-13846.766666666663,-8369.433333333334,-255.89999999999782,839.8666666666668,27.0,1.0,1.0,30.0
165,24,hard,119592.53333333335,-12154.299999999996,-8345.066666666673,-221.76666666666642,894.7999999999993,25.0,1.0,1.0,30.0
167,24,mindfulness,-46060.999999999985,-25782.63333333334,-22866.26666666667,-8486.666666666664,-3323.133333333333,34.0,1.0,1.0,30.0
168,25,art,-282366.5333333334,-11037.166666666657,6173.566666666658,-2318.100000000002,-1747.4333333333334,35.0,1.0,1.0,30.0
169,25,easy,100453.16666666663,59545.0,35994.96666666666,25913.76666666666,6350.933333333334,29.0,1.0,1.0,30.0
170,25,flow,-128122.66666666674,3524.53333333334,15133.033333333333,16897.03333333333,3405.8999999999996,32.0,1.0,1.0,30.0
171,25,free_recall,-250332.73333333334,-37425.033333333326,13911.799999999988,254.36666666666497,-1452.8666666666659,34.0,1.0,1.0,30.0
172,25,hard,217590.7666666666,37703.23333333334,19505.86666666666,32436.76666666666,10762.033333333331,28.0,1.0,1.0,30.0
174,25,mindfulness,59169.266666666605,13047.5,31279.300000000003,9083.233333333334,4379.766666666666,35.0,1.0,1.0,30.0
175,26,art,-24444.466666666704,-30435.699999999997,-8252.066666666666,-7785.599999999995,-4146.4,31.0,1.0,1.0,30.0
176,26,easy,172113.80000000002,11824.900000000009,37087.76666666666,23507.600000000006,5249.666666666666,28.0,1.0,1.0,30.0
177,26,flow,-158424.46666666665,-11925.0,-16205.866666666669,-11131.599999999995,-7951.666666666666,26.0,1.0,1.0,30.0
178,26,free_recall,-39028.13333333333,-20732.5,5412.566666666673,-3746.266666666663,-5116.333333333332,31.0,1.0,1.0,30.0
179,26,hard,-218238.9,-44026.2,-18850.499999999996,-10667.23333333333,-4736.4,29.0,1.0,1.0,30.0
181,26,mindfulness,116958.69999999998,25313.866666666683,59729.90000000001,-4669.0,-2260.0,24.0,1.0,1.0,30.0
182,27,art,-2256.7000000000116,-63329.30000000001,-389.4666666666635,785.6000000000022,663.0,45.0,1.0,1.0,30.0
183,27,easy,-41771.20000000001,-32363.03333333334,2103.900000000005,8125.233333333334,2352.2666666666673,37.0,1.0,1.0,30.0
184,27,flow,-56522.3666666667,-57534.60000000001,-3405.0666666666657,-645.8333333333339,305.1999999999998,39.0,1.0,1.0,30.0
185,27,free_recall,1916.100000000035,-31072.16666666667,5172.333333333339,2670.533333333333,-410.16666666666697,43.0,1.0,1.0,30.0
186,27,hard,-93821.76666666669,-61736.36666666668,3520.400000000005,200.23333333333358,1681.3666666666668,22.0,1.0,1.0,30.0
188,27,mindfulness,140106.5,10765.03333333334,26658.733333333326,8059.466666666667,54.100000000000364,24.0,1.0,1.0,30.0
189,28,art,-33170.3,8071.733333333334,4065.1666666666642,-10032.466666666667,-6850.9333333333325,42.0,1.0,1.0,30.0
190,28,easy,135746.16666666663,39083.5,13814.099999999999,-8715.866666666669,-7772.9,32.0,1.0,1.0,30.0
191,28,flow,86196.03333333333,7316.9666666666635,846.0666666666657,-16389.433333333334,-8771.266666666666,38.0,1.0,1.0,30.0
192,28,free_recall,-64632.53333333334,15316.600000000002,11487.599999999999,-10026.566666666666,-6155.4,37.0,1.0,1.0,30.0
193,28,hard,249918.13333333333,29402.366666666658,8933.133333333331,-14833.866666666667,-8413.133333333333,39.0,1.0,1.0,30.0
195,28,mindfulness,235908.56666666668,60807.76666666666,12822.033333333333,1403.9666666666635,119.10000000000218,36.0,1.0,1.0,30.0
196,1,art,-146537.00000000003,-46689.86666666668,-22014.833333333332,-7716.833333333336,-7002.566666666667,43.0,2.0,31.0,60.0
197,1,easy,-256170.93333333335,3577.9333333333198,32629.600000000006,5159.166666666664,-4691.766666666666,38.0,2.0,31.0,60.0
198,1,flow,-148691.40000000002,-25705.833333333343,-21986.933333333334,-10743.966666666667,-7633.666666666666,36.0,2.0,31.0,60.0
199,1,free_recall,-127663.10000000003,-12748.933333333334,-7424.0999999999985,12006.733333333323,-4434.533333333333,27.0,2.0,31.0,60.0
200,1,hard,-99245.20000000001,14483.366666666654,-9625.26666666667,-7708.833333333336,-7070.266666666666,27.0,2.0,31.0,60.0
202,1,mindfulness,30271.599999999977,31781.266666666663,24185.433333333334,13584.699999999997,-5947.233333333334,36.0,2.0,31.0,60.0
203,2,art,6765.9000000000015,483.5666666666657,-58344.93333333334,-35.79999999999927,521.9666666666662,33.0,2.0,31.0,60.0
204,2,easy,109988.56666666667,29590.233333333334,-56332.03333333334,1498.0,1988.3666666666668,40.0,2.0,31.0,60.0
205,2,flow,117208.53333333333,50791.63333333333,-52690.3,3745.7999999999956,-237.69999999999982,36.0,2.0,31.0,60.0
206,2,free_recall,189330.49999999997,6814.200000000001,9830.53333333334,2151.466666666667,103.4333333333334,37.0,2.0,31.0,60.0
207,2,hard,139319.26666666666,75074.76666666668,-41412.83333333334,6670.166666666668,1407.3000000000002,37.0,2.0,31.0,60.0
209,2,mindfulness,8221.599999999999,-4969.899999999998,6154.533333333326,-1282.7333333333336,1012.8000000000002,40.0,2.0,31.0,60.0
210,3,art,-342510.0333333333,-73238.70000000001,-30021.8,-12011.033333333333,-10993.133333333335,42.0,2.0,31.0,60.0
211,3,easy,-102211.26666666666,-11833.400000000009,-13628.899999999994,-7322.600000000002,-5779.300000000001,33.0,2.0,31.0,60.0
212,3,flow,-358225.26666666666,-60088.93333333335,-28660.766666666663,-11054.033333333333,-7357.333333333336,39.0,2.0,31.0,60.0
213,3,free_recall,-290460.56666666665,-67637.1,-4553.033333333333,-15486.866666666665,-12791.833333333334,39.0,2.0,31.0,60.0
214,3,hard,-243346.63333333333,-11499.633333333346,773.3333333333358,6907.933333333338,12281.799999999996,33.0,2.0,31.0,60.0
216,3,mindfulness,-87703.79999999999,-51328.76666666667,2654.9000000000015,-9106.733333333334,-6714.933333333334,36.0,2.0,31.0,60.0
217,4,art,489744.46666666673,72294.0,41611.86666666667,9641.5,-6453.466666666667,41.0,2.0,31.0,60.0
218,4,easy,-3559.7999999999884,-4335.766666666663,22308.100000000002,36636.36666666666,-7158.966666666667,35.0,2.0,31.0,60.0
219,4,flow,-54767.93333333332,29027.266666666663,2091.300000000003,-7686.866666666665,-6788.666666666667,37.0,2.0,31.0,60.0
220,4,free_recall,-61096.09999999998,-7304.0,49507.933333333334,3839.199999999997,-7601.300000000001,42.0,2.0,31.0,60.0
221,4,hard,20283.533333333326,32029.066666666666,14461.600000000002,-4876.533333333333,-6515.000000000001,34.0,2.0,31.0,60.0
223,4,mindfulness,-97347.36666666667,-36131.53333333333,37305.86666666667,-4104.733333333337,-2469.333333333332,40.0,2.0,31.0,60.0
224,5,art,8637.166666666664,15445.966666666667,-31826.366666666672,13569.366666666665,10284.766666666666,41.0,2.0,31.0,60.0
225,5,easy,152975.9,8863.26666666667,-43151.66666666667,3370.966666666667,261.9000000000001,34.0,2.0,31.0,60.0
226,5,flow,14442.30000000001,-2074.833333333332,-42911.833333333336,5802.866666666667,4160.033333333334,27.0,2.0,31.0,60.0
227,5,free_recall,120920.96666666667,21025.066666666666,-25757.533333333333,5343.399999999998,1347.9333333333334,28.0,2.0,31.0,60.0
228,5,hard,29306.1,11849.366666666669,-37173.200000000004,2119.666666666666,509.43333333333385,22.0,2.0,31.0,60.0
230,5,mindfulness,91460.26666666666,3488.666666666668,28166.96666666666,6521.799999999999,4155.6,42.0,2.0,31.0,60.0
231,6,art,-464219.7666666666,-123276.5,-40613.16666666667,-24453.533333333336,-22757.1,42.0,2.0,31.0,60.0
232,6,easy,-430409.6666666666,-125912.66666666667,-42272.5,-17584.13333333334,-20015.1,39.0,2.0,31.0,60.0
233,6,flow,-427452.0333333333,-117395.23333333334,-8173.500000000007,11580.933333333327,-13148.399999999998,36.0,2.0,31.0,60.0
234,6,free_recall,-499408.69999999995,-142702.9,1980.8999999999942,-12402.800000000003,-17339.1,36.0,2.0,31.0,60.0
235,6,hard,-468571.19999999995,-125339.86666666667,-3161.466666666667,10501.533333333333,-10298.066666666666,36.0,2.0,31.0,60.0
237,6,mindfulness,-509753.1666666666,-142004.73333333334,-35094.7,-23399.46666666667,-19119.033333333333,41.0,2.0,31.0,60.0
238,7,art,-200196.13333333336,-37345.53333333333,-60351.100000000006,-7971.799999999996,6475.1,39.0,2.0,31.0,60.0
239,7,easy,666411.7000000002,345722.1,429948.4666666667,164885.73333333334,147126.73333333334,28.0,2.0,31.0,60.0
240,7,flow,266568.0333333333,47112.83333333333,-26209.966666666674,9747.200000000004,33897.66666666667,33.0,2.0,31.0,60.0
241,7,free_recall,-214151.03333333335,-51301.26666666666,-44956.866666666676,-8978.633333333328,-5874.1,21.0,2.0,31.0,60.0
242,7,hard,282996.9666666667,17303.33333333333,-31957.100000000006,7412.800000000003,21770.666666666664,31.0,2.0,31.0,60.0
244,7,mindfulness,240866.86666666667,129881.1333333333,78277.93333333332,34911.966666666674,28650.533333333333,25.0,2.0,31.0,60.0
245,8,art,-98756.56666666667,-21121.733333333337,-107037.5,-3374.2000000000007,-3714.866666666667,38.0,2.0,31.0,60.0
